Date,Oil Price
5-Apr-93,1.04
12-Apr-93,1.047
19-Apr-93,1.054
26-Apr-93,1.059
3-May-93,1.062
10-May-93,1.069
17-May-93,1.073
24-May-93,1.075
31-May-93,1.078
7-Jun-93,1.078
14-Jun-93,1.076
21-Jun-93,1.075
28-Jun-93,1.072
5-Jul-93,1.068
12-Jul-93,1.066
19-Jul-93,1.062
26-Jul-93,1.059
2-Aug-93,1.054
9-Aug-93,1.051
16-Aug-93,1.047
23-Aug-93,1.045
30-Aug-93,1.041
6-Sep-93,1.037
13-Sep-93,1.034
20-Sep-93,1.028
27-Sep-93,1.024
4-Oct-93,1.068
11-Oct-93,1.064
18-Oct-93,1.063
25-Oct-93,1.061
1-Nov-93,1.057
8-Nov-93,1.053
15-Nov-93,1.048
22-Nov-93,1.043
29-Nov-93,1.038
6-Dec-93,1.028
13-Dec-93,1.015
20-Dec-93,1.004
27-Dec-93,0.997
3-Jan-94,0.992
10-Jan-94,0.989
17-Jan-94,0.987
24-Jan-94,0.985
31-Jan-94,0.984
7-Feb-94,0.989
14-Feb-94,0.996
21-Feb-94,0.997
28-Feb-94,0.996
7-Mar-94,0.994
14-Mar-94,0.993
21-Mar-94,0.992
28-Mar-94,0.996
4-Apr-94,0.996
11-Apr-94,1.004
18-Apr-94,1.008
25-Apr-94,1.013
2-May-94,1.017
9-May-94,1.018
16-May-94,1.021
23-May-94,1.023
30-May-94,1.028
6-Jun-94,1.036
13-Jun-94,1.044
20-Jun-94,1.05
27-Jun-94,1.062
4-Jul-94,1.068
11-Jul-94,1.07
18-Jul-94,1.074
25-Jul-94,1.079
1-Aug-94,1.089
8-Aug-94,1.113
15-Aug-94,1.124
22-Aug-94,1.127
29-Aug-94,1.126
5-Sep-94,1.122
12-Sep-94,1.121
19-Sep-94,1.116
26-Sep-94,1.111
3-Oct-94,1.105
10-Oct-94,1.1
17-Oct-94,1.098
24-Oct-94,1.098
31-Oct-94,1.112
7-Nov-94,1.122
14-Nov-94,1.121
21-Nov-94,1.116
28-Nov-94,1.129
5-Dec-94,1.147
12-Dec-94,1.158
19-Dec-94,1.169
26-Dec-94,1.163
2-Jan-95,1.156
9-Jan-95,1.155
16-Jan-95,1.15
23-Jan-95,1.15
30-Jan-95,1.148
6-Feb-95,1.145
13-Feb-95,1.141
20-Feb-95,1.138
27-Feb-95,1.137
6-Mar-95,1.137
13-Mar-95,1.133
20-Mar-95,1.129
27-Mar-95,1.128
3-Apr-95,1.132
10-Apr-95,1.143
17-Apr-95,1.16
24-Apr-95,1.187
1-May-95,1.2
8-May-95,1.224
15-May-95,1.234
22-May-95,1.252
29-May-95,1.262
5-Jun-95,1.264
12-Jun-95,1.263
19-Jun-95,1.26
26-Jun-95,1.256
3-Jul-95,1.249
10-Jul-95,1.244
17-Jul-95,1.238
24-Jul-95,1.229
31-Jul-95,1.218
7-Aug-95,1.213
14-Aug-95,1.205
21-Aug-95,1.201
28-Aug-95,1.197
4-Sep-95,1.188
11-Sep-95,1.185
