Date,Oil Price
5-Apr-93,1.061
12-Apr-93,1.077
19-Apr-93,1.067
26-Apr-93,1.078
3-May-93,1.073
10-May-93,1.091
17-May-93,1.107
24-May-93,1.103
31-May-93,1.102
7-Jun-93,1.095
14-Jun-93,1.092
21-Jun-93,1.077
28-Jun-93,1.068
5-Jul-93,1.063
12-Jul-93,1.054
19-Jul-93,1.045
26-Jul-93,1.036
2-Aug-93,1.028
9-Aug-93,1.026
16-Aug-93,1.025
23-Aug-93,1.043
30-Aug-93,1.04
6-Sep-93,1.029
13-Sep-93,1.02
20-Sep-93,1.009
27-Sep-93,1.016
4-Oct-93,1.063
11-Oct-93,1.065
18-Oct-93,1.078
25-Oct-93,1.074
1-Nov-93,1.062
8-Nov-93,1.051
15-Nov-93,1.034
22-Nov-93,1.026
29-Nov-93,1.017
6-Dec-93,0.994
13-Dec-93,0.969
20-Dec-93,0.948
27-Dec-93,0.949
3-Jan-94,0.939
10-Jan-94,0.956
17-Jan-94,0.974
24-Jan-94,0.972
31-Jan-94,0.989
7-Feb-94,0.989
14-Feb-94,1.001
21-Feb-94,0.984
28-Feb-94,0.975
7-Mar-94,0.988
14-Mar-94,0.981
21-Mar-94,0.984
28-Mar-94,0.992
4-Apr-94,0.989
11-Apr-94,1.019
18-Apr-94,1.025
25-Apr-94,1.029
2-May-94,1.029
9-May-94,1.036
16-May-94,1.034
23-May-94,1.045
30-May-94,1.053
6-Jun-94,1.059
13-Jun-94,1.067
20-Jun-94,1.075
27-Jun-94,1.097
4-Jul-94,1.095
11-Jul-94,1.099
18-Jul-94,1.109
25-Jul-94,1.119
1-Aug-94,1.14
8-Aug-94,1.175
15-Aug-94,1.172
22-Aug-94,1.179
29-Aug-94,1.164
5-Sep-94,1.158
12-Sep-94,1.145
19-Sep-94,1.128
26-Sep-94,1.11
3-Oct-94,1.092
10-Oct-94,1.087
17-Oct-94,1.073
24-Oct-94,1.072
31-Oct-94,1.094
7-Nov-94,1.092
14-Nov-94,1.087
21-Nov-94,1.072
28-Nov-94,1.064
5-Dec-94,1.061
12-Dec-94,1.054
19-Dec-94,1.053
26-Dec-94,1.041
2-Jan-95,1.045
9-Jan-95,1.066
16-Jan-95,1.051
23-Jan-95,1.071
30-Jan-95,1.072
6-Feb-95,1.062
13-Feb-95,1.058
20-Feb-95,1.049
27-Feb-95,1.068
6-Mar-95,1.068
13-Mar-95,1.057
20-Mar-95,1.064
27-Mar-95,1.08
3-Apr-95,1.104
10-Apr-95,1.122
17-Apr-95,1.137
24-Apr-95,1.16
1-May-95,1.158
8-May-95,1.191
15-May-95,1.197
22-May-95,1.224
29-May-95,1.217
5-Jun-95,1.217
12-Jun-95,1.21
19-Jun-95,1.197
26-Jun-95,1.185
3-Jul-95,1.174
10-Jul-95,1.157
17-Jul-95,1.142
24-Jul-95,1.129
31-Jul-95,1.114
7-Aug-95,1.116
14-Aug-95,1.117
21-Aug-95,1.122
28-Aug-95,1.11
4-Sep-95,1.112
11-Sep-95,1.109
18-Sep-95,1.112
25-Sep-95,1.114
2-Oct-95,1.106
9-Oct-95,1.092
16-Oct-95,1.076
23-Oct-95,1.066
30-Oct-95,1.049
6-Nov-95,1.056
13-Nov-95,1.059
20-Nov-95,1.056
27-Nov-95,1.061
4-Dec-95,1.068
11-Dec-95,1.066
18-Dec-95,1.103
25-Dec-95,1.103
1-Jan-96,1.104
8-Jan-96,1.124
15-Jan-96,1.122
22-Jan-96,1.107
29-Jan-96,1.094
5-Feb-96,1.094
12-Feb-96,1.092
19-Feb-96,1.103
26-Feb-96,1.144
4-Mar-96,1.16
11-Mar-96,1.151
18-Mar-96,1.167
25-Mar-96,1.202
1-Apr-96,1.209
8-Apr-96,1.232
15-Apr-96,1.268
22-Apr-96,1.258
29-Apr-96,1.27
6-May-96,1.26
