Date,Oil Price
5-Apr-93,1.152
12-Apr-93,1.154
19-Apr-93,1.155
26-Apr-93,1.157
3-May-93,1.161
10-May-93,1.171
17-May-93,1.177
24-May-93,1.178
31-May-93,1.186
7-Jun-93,1.188
14-Jun-93,1.188
21-Jun-93,1.186
28-Jun-93,1.182
5-Jul-93,1.181
12-Jul-93,1.177
19-Jul-93,1.172
26-Jul-93,1.168
2-Aug-93,1.158
9-Aug-93,1.159
16-Aug-93,1.154
23-Aug-93,1.155
30-Aug-93,1.155
6-Sep-93,1.154
13-Sep-93,1.154
20-Sep-93,1.165
27-Sep-93,1.171
4-Oct-93,1.22
11-Oct-93,1.215
18-Oct-93,1.209
25-Oct-93,1.202
1-Nov-93,1.198
8-Nov-93,1.186
15-Nov-93,1.176
22-Nov-93,1.167
29-Nov-93,1.158
6-Dec-93,1.147
13-Dec-93,1.134
20-Dec-93,1.122
27-Dec-93,1.12
3-Jan-94,1.117
10-Jan-94,1.111
17-Jan-94,1.105
24-Jan-94,1.104
31-Jan-94,1.104
7-Feb-94,1.105
14-Feb-94,1.106
21-Feb-94,1.11
28-Feb-94,1.112
7-Mar-94,1.108
14-Mar-94,1.109
21-Mar-94,1.115
28-Mar-94,1.114
4-Apr-94,1.115
11-Apr-94,1.117
18-Apr-94,1.128
25-Apr-94,1.133
2-May-94,1.14
9-May-94,1.142
16-May-94,1.146
23-May-94,1.15
30-May-94,1.152
6-Jun-94,1.163
13-Jun-94,1.166
20-Jun-94,1.17
27-Jun-94,1.179
4-Jul-94,1.184
11-Jul-94,1.195
18-Jul-94,1.199
25-Jul-94,1.205
1-Aug-94,1.215
8-Aug-94,1.223
15-Aug-94,1.225
22-Aug-94,1.227
29-Aug-94,1.227
5-Sep-94,1.227
12-Sep-94,1.226
19-Sep-94,1.225
26-Sep-94,1.222
3-Oct-94,1.231
10-Oct-94,1.231
17-Oct-94,1.229
24-Oct-94,1.227
31-Oct-94,1.228
7-Nov-94,1.228
14-Nov-94,1.233
21-Nov-94,1.229
28-Nov-94,1.238
5-Dec-94,1.249
12-Dec-94,1.257
19-Dec-94,1.26
26-Dec-94,1.261
2-Jan-95,1.268
9-Jan-95,1.268
16-Jan-95,1.264
23-Jan-95,1.258
30-Jan-95,1.253
6-Feb-95,1.248
13-Feb-95,1.245
20-Feb-95,1.243
27-Feb-95,1.24
6-Mar-95,1.237
13-Mar-95,1.23
20-Mar-95,1.229
27-Mar-95,1.223
3-Apr-95,1.226
10-Apr-95,1.241
17-Apr-95,1.245
24-Apr-95,1.258
1-May-95,1.269
8-May-95,1.28
15-May-95,1.287
22-May-95,1.292
29-May-95,1.295
5-Jun-95,1.295
12-Jun-95,1.292
19-Jun-95,1.291
26-Jun-95,1.286
3-Jul-95,1.285
10-Jul-95,1.281
17-Jul-95,1.273
24-Jul-95,1.268
31-Jul-95,1.259
7-Aug-95,1.253
14-Aug-95,1.248
21-Aug-95,1.245
28-Aug-95,1.244
4-Sep-95,1.243
11-Sep-95,1.236
18-Sep-95,1.235
25-Sep-95,1.233
2-Oct-95,1.241
9-Oct-95,1.242
16-Oct-95,1.243
23-Oct-95,1.242
30-Oct-95,1.237
6-Nov-95,1.232
13-Nov-95,1.23
20-Nov-95,1.224
27-Nov-95,1.22
4-Dec-95,1.217
11-Dec-95,1.217
18-Dec-95,1.219
25-Dec-95,1.223
1-Jan-96,1.222
8-Jan-96,1.222
15-Jan-96,1.227
22-Jan-96,1.229
29-Jan-96,1.224
5-Feb-96,1.221
12-Feb-96,1.224
19-Feb-96,1.229
26-Feb-96,1.237
4-Mar-96,1.246
11-Mar-96,1.267
18-Mar-96,1.282
25-Mar-96,1.297
1-Apr-96,1.319
8-Apr-96,1.351
15-Apr-96,1.394
22-Apr-96,1.476
29-Apr-96,1.525
6-May-96,1.541
13-May-96,1.544
20-May-96,1.54
27-May-96,1.535
3-Jun-96,1.53
10-Jun-96,1.521
17-Jun-96,1.51
24-Jun-96,1.5
1-Jul-96,1.488
8-Jul-96,1.481
15-Jul-96,1.473
22-Jul-96,1.463
29-Jul-96,1.451
5-Aug-96,1.437
12-Aug-96,1.424
19-Aug-96,1.409
26-Aug-96,1.414
2-Sep-96,1.383
9-Sep-96,1.372
16-Sep-96,1.372
23-Sep-96,1.369
30-Sep-96,1.359
7-Oct-96,1.35
14-Oct-96,1.34
21-Oct-96,1.329
28-Oct-96,1.313
4-Nov-96,1.3
11-Nov-96,1.281
18-Nov-96,1.274
25-Nov-96,1.268
2-Dec-96,1.265
9-Dec-96,1.261
16-Dec-96,1.262
23-Dec-96,1.265
30-Dec-96,1.27
6-Jan-97,1.282
13-Jan-97,1.302
20-Jan-97,1.316
27-Jan-97,1.321
3-Feb-97,1.333
10-Feb-97,1.345
17-Feb-97,1.347
24-Feb-97,1.353
3-Mar-97,1.352
10-Mar-97,1.362
17-Mar-97,1.367
24-Mar-97,1.373
31-Mar-97,1.391
7-Apr-97,1.407
14-Apr-97,1.413
21-Apr-97,1.412
28-Apr-97,1.407
5-May-97,1.4
12-May-97,1.396
19-May-97,1.386
26-May-97,1.378
2-Jun-97,1.372
9-Jun-97,1.362
16-Jun-97,1.355
23-Jun-97,1.344
30-Jun-97,1.328
7-Jul-97,1.321
14-Jul-97,1.315
21-Jul-97,1.307
28-Jul-97,1.298
4-Aug-97,1.313
11-Aug-97,1.35
18-Aug-97,1.377
25-Aug-97,1.407
1-Sep-97,1.426
8-Sep-97,1.444
15-Sep-97,1.458
22-Sep-97,1.458
29-Sep-97,1.454
6-Oct-97,1.453
13-Oct-97,1.443
20-Oct-97,1.438
27-Oct-97,1.431
3-Nov-97,1.421
10-Nov-97,1.411
17-Nov-97,1.401
24-Nov-97,1.39
1-Dec-97,1.381
8-Dec-97,1.367
15-Dec-97,1.357
22-Dec-97,1.347
29-Dec-97,1.34
5-Jan-98,1.333
12-Jan-98,1.318
19-Jan-98,1.296
26-Jan-98,1.28
2-Feb-98,1.26
9-Feb-98,1.236
16-Feb-98,1.214
23-Feb-98,1.19
2-Mar-98,1.157
9-Mar-98,1.131
16-Mar-98,1.126
23-Mar-98,1.12
30-Mar-98,1.141
6-Apr-98,1.146
13-Apr-98,1.165
20-Apr-98,1.164
27-Apr-98,1.179
4-May-98,1.228
11-May-98,1.244
18-May-98,1.248
25-May-98,1.251
1-Jun-98,1.244
8-Jun-98,1.235
15-Jun-98,1.233
22-Jun-98,1.227
29-Jun-98,1.223
6-Jul-98,1.219
13-Jul-98,1.216
20-Jul-98,1.214
27-Jul-98,1.211
3-Aug-98,1.203
10-Aug-98,1.199
17-Aug-98,1.196
24-Aug-98,1.192
31-Aug-98,1.184
7-Sep-98,1.179
14-Sep-98,1.171
21-Sep-98,1.189
28-Sep-98,1.187
5-Oct-98,1.182
12-Oct-98,1.178
19-Oct-98,1.174
26-Oct-98,1.175
